uni_name,email,phone_number,password,address,city,state,zipcode,country
San Francisco State University,sfsu@example.com,1234567890,sfsu_password,1600 Holloway Ave,San Francisco,CA,94132,USA
San Jose State University,sjsu@example.com,4567890123,sjsu_password,One Washington Square,San Jose,CA,95192,USA
University of Southern California,usc@example.com,7890123456,usc_password,University Park Campus Los Angeles,Los Angeles,CA,90089,USA
Stanford University,stanford@example.com,9876543210,stanford_password,450 Serra Mall,Stanford,CA,94305,USA
UCLA,ucla@example.com,6543210987,ucla_password,405 Hilgard Ave,Los Angeles,CA,90095,USA
UC Berkeley,ucb@example.com,3210987654,ucb_password,200 California Hall,Berkeley,CA,94720,USA
University of Texas at Austin,utexas@example.com,2109876543,utexas_password,110 Inner Campus Dr,Austin,TX,78705,USA
University of Michigan,umich@example.com,5432109876,umich_password,500 S State St,Ann Arbor,MI,48109,USA
University of Florida,uf@example.com,8765432109,uf_password,121 Grinter Hall,Gainesville,FL,32611,USA
Ohio State University,osu@example.com,1098765432,osu_password,190 N. Oval Mall,Columbus,OH,43210,USA
Yale University,yale@example.com,4321098765,yale_password,149 Elm St,New Haven,CT,06511,USA
Harvard University,harvard@example.com,7654321098,harvard_password,1350 Massachusetts Ave,Cambridge,MA,02138,USA
